Class,OutLinkNum,OutLinkProp,OutLinkNum2,OutLinkProp2,InLinkNum,InLinkProp,InLinkNum2,InLinkProp2
Actor,35,0.251798561151,4455,0.162076618038,57,0.240506329114,5753,0.0883242496354
Actor,50,0.155279503106,9668,0.136789382835,102,0.122891566265,19826,0.0917738657878
Actor,20,0.173913043478,2238,0.0924449584865,15,0.0793650793651,2753,0.0981636655375
Actor,10,0.0454545454545,4610,0.0745363708387,11,0.0302197802198,5675,0.057608364633
Actor,41,0.212435233161,4015,0.111903899217,52,0.16403785489,7337,0.0937264470306
Actor,111,0.426923076923,8562,0.2213032128,117,0.291770573566,10700,0.170371313929
Actor,10,0.188679245283,623,0.0528458732717,0,0.0,537,0.0231655234891
Actor,1,0.0344827586207,33,0.0059880239521,1,0.0243902439024,41,0.0189201661283
Actor,42,0.221052631579,4361,0.111926699689,88,0.148648648649,10282,0.0758998435055
Actor,14,0.128440366972,1772,0.0724004085802,39,0.14552238806,4720,0.0634749865519
Actor,1,0.012987012987,1295,0.0870646766169,3,0.0275229357798,2197,0.0643093405146
Actor,24,0.201680672269,1394,0.0760958567607,14,0.0972222222222,1555,0.0324329961414
Actor,72,0.286852589641,7311,0.197120440023,96,0.212860310421,11142,0.0721025043681
Actor,16,0.0617760617761,1664,0.0701961611474,12,0.0659340659341,2042,0.0388279363389
Actor,16,0.163265306122,1284,0.122682973438,33,0.22602739726,3650,0.100884466556
Actor,62,0.321243523316,5650,0.176645302486,72,0.250871080139,7356,0.150524872619
Actor,4,0.078431372549,864,0.124801386682,6,0.0833333333333,1405,0.129505023504
Actor,6,0.0714285714286,1432,0.0764426413281,8,0.0720720720721,2478,0.0979059660213
Actor,54,0.085308056872,12644,0.0953486969112,46,0.0239458615305,12016,0.0442443010056
Actor,8,0.0357142857143,1074,0.0245879120879,2,0.00625,882,0.0112362413371
Actor,5,0.0961538461538,458,0.0681953543776,3,0.0857142857143,259,0.0238226637233
Actor,95,0.431818181818,8031,0.177708443972,114,0.323863636364,11098,0.128857720085
Actor,2,0.0571428571429,373,0.0552592592593,0,0.0,346,0.0953693495039
Actor,10,0.102040816327,2021,0.100128814903,12,0.0944881889764,2391,0.0613659112491
Actor,23,0.242105263158,1903,0.117107692308,29,0.173652694611,3152,0.0724880987972
Actor,8,0.119402985075,1034,0.0742016505203,13,0.0833333333333,2347,0.074079919197
Actor,1,0.016393442623,666,0.0497348965723,1,0.047619047619,186,0.0658873538789
Actor,14,0.116666666667,903,0.049398249453,23,0.0804195804196,1703,0.0232933484701
Actor,1,0.0555555555556,130,0.0454704442113,1,0.05,162,0.153409090909
Actor,3,0.0576923076923,342,0.028941355674,0,0.0,194,0.0189879612411
Actor,2,0.030303030303,347,0.0256523989059,4,0.0201005025126,442,0.0258011791489
Actor,0,0.0,29,0.00352626459144,0,0.0,275,0.115740740741
Actor,9,0.219512195122,130,0.0444748546014,5,0.151515151515,70,0.0599315068493
Actor,3,0.0194805194805,361,0.0127764997346,0,0.0,57,0.00742284151582
Actor,0,0.0,314,0.076213592233,0,0.0,298,0.0731108930324
Actor,5,0.0925925925926,527,0.0412234042553,2,0.0625,639,0.124464355279
Actor,1,0.0126582278481,1226,0.119237502431,1,0.0238095238095,855,0.17498976668
Actor,2,0.027027027027,534,0.0314765694076,0,0.0,805,0.0492174125703
Actor,1,0.0188679245283,156,0.0212998361551,3,0.0555555555556,68,0.0130068859985
Actor,20,0.25974025974,1865,0.107097737453,8,0.0792079207921,1831,0.0721860831855
Actor,2,0.0833333333333,116,0.0356265356265,1,0.0909090909091,91,0.0804597701149
Actor,5,0.0925925925926,708,0.0636118598383,1,0.0144927536232,953,0.100157645822
Actor,6,0.089552238806,3755,0.205415754923,6,0.0869565217391,911,0.0797723292469
Actor,9,0.155172413793,475,0.040797045435,23,0.100877192982,1388,0.0675261493554
Actor,218,0.332824427481,14065,0.136056724965,0,0.0,223,0.153264604811
Actor,4,0.039603960396,413,0.0292368681863,1,0.0135135135135,116,0.00563571879707
Actor,13,0.154761904762,1426,0.0633918648589,3,0.0491803278689,748,0.0635352076786
Actor,2,0.0571428571429,503,0.063824387768,3,0.0352941176471,1105,0.121228743829
Actor,2,0.0434782608696,327,0.0379702740362,6,0.142857142857,268,0.0303098846415
Actor,2,0.08,366,0.11582278481,1,0.0454545454545,123,0.0532006920415
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,1,0.000916590284143,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,237,0.0286577992745,1,0.00609756097561,241,0.0102846413178
Nonactor,0,0.0,37,0.00188679245283,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,2,0.0625,167,0.0162831513261,0,0.0,80,0.0448179271709
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0,0,0
Nonactor,0,0.0,211,0.0246265172736,0,0.0,197,0.0106919945726
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,7,0.00466977985324,0,0.0,0,0.0
Nonactor,0,0,0,0,7,0.777777777778,178,0.160940325497
Nonactor,0,0.0,5,0.000406471018616,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,6,0.000642811227769
Nonactor,7,0.0284552845528,1600,0.0353193086245,1,0.01,247,0.0252530416113
Nonactor,0,0.0,3,0.000373412994772,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,5,0.15625,682,0.0690562980964,0,0.0,9,0.0115089514066
Nonactor,0,0.0,2,0.000138811771238,0,0.0,20,0.000411336432068
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,4,0.00156188988676,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,7,0.000165562913907,0,0.0,3,0.000169405387091
Nonactor,0,0.0,7,0.0014329580348,0,0.0,4,0.00319488817891
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,9,0.000420226922538,0,0.0,7,0.000349109770086
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,3,0.000696378830084,0,0.0,2,0.000322216851941
Nonactor,0,0.0,1,7.23746109865e-05,0,0.0,6,0.000464504141829
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,6,0.00131578947368,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0.0,0,0.0
Nonactor,0,0.0,1,0.000101245317404,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,1,0.00205761316872
Nonactor,0,0,0,0,0,0.0,77,0.00124520917897
Nonactor,0,0.0,1,0.00143266475645,0,0.0,3,0.00528169014085
Nonactor,0,0.0,1,0.00180505415162,0,0.0,0,0.0
Nonactor,0,0.0,0,0.0,0,0.0,0,0.0
Nonactor,0,0.0,9,0.00144415917843,0,0.0,1,0.000419111483655
Nonactor,0,0.0,2,0.000367714653429,0,0.0,0,0.0
Nonactor,0,0,0,0,0,0,0,0
Nonactor,0,0.0,1,4.0086587028e-05,0,0,0,0
Nonactor,0,0.0,0,0.0,0,0.0,1,5.92803367123e-05
Nonactor,0,0.0,7,0.000616468516072,0,0.0,5,0.000726744186047
